time,phase,rst_n,command_valid,command_ready,busy,done,error,error_code,response_valid,response_error,response_result,memory_req_valid,memory_req_ready,memory_req_write,memory_req_addr,memory_req_wstrb,memory_req_last,memory_rsp_valid,memory_rsp_ready,stalled_cycle,outputs_completed_event
5000,1,0,0,0,x,x,x,x,x,x,xxxxxxxx,0,1,x,xxxxxxxx,0,x,0,0,x,x
15000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35000,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45000,16,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10000000,0,0,0,0,0,0
65000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000000,0,0,1,1,0,0
75000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10000004,0,0,0,0,0,0
85000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000004,0,0,1,1,0,0
95000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10002000,0,0,0,0,0,0
105000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10002000,0,0,1,1,0,0
115000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10002000,0,0,0,0,0,0
125000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10002000,0,0,1,1,0,0
135000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000004,0,0,0,0,0,0
145000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10000000,0,0,0,0,0,0
155000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000000,0,0,1,1,0,0
165000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10000004,0,0,0,0,0,0
175000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000004,0,0,1,1,0,0
185000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10002004,0,0,0,0,0,0
195000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10002004,0,0,1,1,0,0
205000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10002004,0,0,0,0,0,0
215000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10002004,0,0,1,1,0,0
225000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10000004,0,0,0,0,0,0
235000,16,1,0,0,1,0,0,0,0,0,0,1,1,1,10004000,3,0,0,0,0,0
245000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,0,1,1,0,0
255000,16,1,0,0,1,0,0,0,0,0,0,1,1,1,10004000,c,0,0,0,0,1
265000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,0,1,1,0,0
275000,16,1,0,0,1,0,0,0,0,0,0,1,1,1,10004004,3,0,0,0,0,1
285000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,0,1,1,0,0
295000,16,1,0,0,1,0,0,0,0,0,0,1,1,1,10004004,c,1,0,0,0,1
305000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,0,1,1,0,0
