time,phase,rst_n,command_valid,command_ready,busy,done,error,error_code,response_valid,response_error,response_result,memory_req_valid,memory_req_ready,memory_req_write,memory_req_addr,memory_req_wstrb,memory_rsp_valid,memory_rsp_ready,stalled_cycle,elements_completed_event
5000,1,0,0,0,x,x,x,x,x,x,xxxxxxxx,0,1,x,xxxxxxxx,X,0,0,x,x
15000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35000,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45000,16,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10004000,0,0,0,0,0
65000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,1,1,0,0
75000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,0,0,0,0
85000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10004004,0,0,0,0,0
95000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,1,1,0,0
105000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,0,0,0,0
115000,16,1,0,0,1,0,0,0,0,0,0,1,1,0,10004008,0,0,0,0,0
125000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004008,0,1,1,0,0
135000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004008,0,0,0,0,0
145000,16,1,0,0,1,0,0,0,0,0,0,1,1,1,10006000,3,0,0,0,0
155000,16,1,0,0,1,0,0,0,0,0,0,0,1,0,10004008,0,1,1,0,0
165000,16,1,0,0,1,1,0,0,1,0,f,0,1,0,10004008,0,0,0,0,5
175000,32,0,0,0,0,0,0,0,0,0,f,0,1,0,10004008,0,0,0,0,0
185000,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195000,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205000,32,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215000,32,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225000,32,1,0,0,1,0,0,0,0,0,0,1,1,0,10004000,0,0,0,0,0
235000,32,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,1,1,0,0
245000,32,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,0,0,0,0
255000,32,1,0,0,1,0,0,0,0,0,0,1,1,0,10004004,0,0,0,0,0
265000,32,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,1,1,0,0
275000,32,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,0,0,0,0
285000,32,1,0,0,1,0,0,0,0,0,0,1,1,1,10006000,3,0,0,0,0
295000,32,1,0,0,1,0,0,0,0,0,0,0,1,0,10004004,0,1,1,0,0
305000,32,1,0,0,1,1,0,0,1,0,ffff,0,1,0,10004004,0,0,0,0,4
315000,48,0,0,0,0,0,0,0,0,0,ffff,0,1,0,10004004,0,0,0,0,0
325000,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
335000,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
345000,48,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
355000,48,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
365000,48,1,0,0,1,0,0,0,0,0,0,1,0,0,10004000,0,0,0,1,0
375000,48,1,0,0,1,0,0,0,0,0,0,1,1,0,10004000,0,0,0,0,0
385000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10004000,0,1,1,0,0
395000,48,1,0,0,1,0,0,0,0,0,0,0,0,0,10004000,0,0,0,0,0
