time,phase,rst_n,timer_enable,timer_periodic,timer_interval,timer_value,timer_tick,timer_active,irq_sources,irq_pending,irq,irq_latency_valid,irq_latency_cycles,dma_active,dma_stalled,accel_active,command_completed,scheduler_stalled,perf_value
5000,1,0,0,0,0,x,x,0,0,xxxxx,0,x,x,0,0,0,0,0,x
15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,16,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55000,16,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
65000,16,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3
75000,16,1,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,4
85000,16,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5
95000,16,1,1,0,3,2,0,0,0,10000,0,0,0,0,0,0,0,0,6
105000,32,1,1,1,2,2,0,0,0,10000,0,0,0,0,0,0,0,0,7
115000,32,1,1,1,2,0,0,1,0,10000,0,0,0,0,0,0,0,0,8
125000,32,1,1,1,2,1,0,1,0,10000,0,0,0,0,0,0,0,0,9
135000,32,1,1,1,2,0,1,1,0,10000,0,0,0,0,0,0,0,0,10
145000,32,1,1,1,2,1,0,1,0,10000,0,0,0,0,0,0,0,0,11
155000,32,1,1,1,2,0,1,1,0,10000,0,0,0,0,0,0,0,0,12
165000,32,1,1,1,2,1,0,1,0,10000,0,0,0,0,0,0,0,0,13
175000,48,1,1,1,2,0,1,1,1,10000,0,0,0,0,0,0,0,0,14
185000,48,1,1,1,2,1,0,1,0,10001,1,0,0,0,0,0,0,0,15
195000,48,1,1,1,2,0,1,1,0,10001,1,0,0,0,0,0,0,0,16
205000,48,1,1,1,2,1,0,1,0,10001,1,0,0,0,0,0,0,0,17
215000,48,1,1,1,2,0,1,1,0,10001,1,0,0,0,0,0,0,0,18
225000,48,1,1,1,2,1,0,1,0,10001,1,0,0,0,0,0,0,0,19
235000,48,1,1,1,2,0,1,1,0,10000,0,1,3,0,0,0,0,0,20
245000,64,1,1,1,2,1,0,1,0,10000,0,0,3,0,0,0,0,0,21
255000,64,1,1,1,2,0,1,1,0,10000,0,0,3,1,1,1,1,1,0
265000,64,1,1,1,2,1,0,1,0,10000,0,0,3,1,1,1,1,1,1
275000,64,1,1,1,2,0,1,1,0,10000,0,0,3,1,1,1,1,1,2
285000,64,1,1,1,2,1,0,1,0,10000,0,0,3,0,0,0,0,0,3
295000,255,1,1,1,2,0,1,1,0,10000,0,0,3,0,0,0,0,0,0
305000,255,1,1,1,2,1,0,1,0,10000,0,0,3,0,0,0,0,0,0
315000,255,1,1,1,2,0,1,1,0,10000,0,0,3,0,0,0,0,0,0
325000,255,1,1,1,2,1,0,1,0,10000,0,0,3,0,0,0,0,0,0
