source_revision,source_dirty,config,suite,workload,seed,length_bytes,elements,rows,columns,inner,outputs,total_cycles,cycles,active_cycles,stalled_cycles,dma_active_cycles,dma_stalled_cycles,accelerator_active_cycles,accelerator_stalled_cycles,queue_high_water,commands_completed,bytes_read,bytes_written,interrupt_latency,scheduler_stalls,reads,writes,source_requests,destination_requests,completed_elements,final_writes,dma_done_events,command_done_events,accelerator_done_events,irq_seen,bytes_per_cycle,elements_per_cycle,outputs_per_cycle,local_stall_percent,dma_stall_percent,accelerator_stall_percent,accelerator_utilization_percent
525d689,true,baseline,soc,mixed_firmware,1,,,,,,,2239,,,,745,373,495,254,1,10,347,347,39,0,,,,,,,28,10,9,1,0.1550,,,,33.36,33.91,22.11
525d689,true,baseline,dma,dma_copy_4B,1,4,,,,,,,4,4,2,,,,,,,4,4,,,,,1,1,,,,,,,1.0000,,,33.33,,,
525d689,true,baseline,dma,dma_copy_16B,1,16,,,,,,,16,16,8,,,,,,,16,16,,,,,4,4,,,,,,,1.0000,,,33.33,,,
525d689,true,baseline,dma,dma_copy_64B,1,64,,,,,,,64,64,32,,,,,,,64,64,,,,,16,16,,,,,,,1.0000,,,33.33,,,
525d689,true,baseline,dma,dma_copy_backpressure,1,64,,,,,,,154,154,126,,,,,,,64,64,,,,,16,16,,,,,,,0.4156,,,45.00,,,
525d689,true,baseline,dma,dma_memory_to_memory,1,16,,,,,,,16,16,8,,,,,,,16,16,,,,,4,4,,,,,,,1.0000,,,33.33,,,
525d689,true,baseline,vector,vector_add,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
525d689,true,baseline,vector,vector_multiply,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
525d689,true,baseline,vector,vector_relu,1,,16,,,,,,40,39,17,,,,,,,,,,,8,8,,,16,,,,,,,0.4000,,30.36,,,
525d689,true,baseline,vector,vector_clamp,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
525d689,true,baseline,vector,vector_add_backpressure,1,,16,,,,,,120,119,89,,,,,,,,,,,16,8,,,16,,,,,,,0.1333,,42.79,,,
525d689,true,baseline,vector,vector_scale,1,,16,,,,,,42,41,18,,,,,,,,,,,9,8,,,16,,,,,,,0.3810,,30.51,,,
525d689,true,baseline,reduction,reduction_sum,1,,16,,,,,,26,25,10,,,,,,,,,,,8,1,,,16,,,,,,,0.6154,,28.57,,,
525d689,true,baseline,reduction,reduction_max,1,,16,,,,,,26,25,10,,,,,,,,,,,8,1,,,16,,,,,,,0.6154,,28.57,,,
525d689,true,baseline,reduction,reduction_sum_backpressure,1,,16,,,,,,51,50,36,,,,,,,,,,,8,1,,,16,,,,,,,0.3137,,41.86,,,
525d689,true,baseline,gemm,gemm_2x2x2,1,,,2,2,2,4,,26,25,13,,,,,,,,,,,8,4,,,,1,,,,,,,0.1538,34.21,,,
525d689,true,baseline,gemm,gemm_4x4x4,1,,,4,4,4,16,,176,175,81,,,,,,,,,,,64,16,,,,1,,,,,,,0.0909,31.64,,,
525d689,true,baseline,gemm,gemm_4x4x4_backpressure,1,,,4,4,4,16,,361,360,281,,,,,,,,,,,64,16,,,,1,,,,,,,0.0443,43.84,,,
