source_revision,source_dirty,config,suite,workload,seed,length_bytes,elements,rows,columns,inner,outputs,total_cycles,cycles,active_cycles,stalled_cycles,dma_active_cycles,dma_stalled_cycles,accelerator_active_cycles,accelerator_stalled_cycles,queue_high_water,commands_completed,bytes_read,bytes_written,interrupt_latency,scheduler_stalls,reads,writes,source_requests,destination_requests,completed_elements,final_writes,dma_done_events,command_done_events,accelerator_done_events,irq_seen,bytes_per_cycle,elements_per_cycle,outputs_per_cycle,local_stall_percent,dma_stall_percent,accelerator_stall_percent,accelerator_utilization_percent
8aef0e4,true,gemm_tile_4x4,soc,mixed_firmware,1,,,,,,,2179,,,,747,375,433,226,1,10,347,347,39,0,,,,,,,28,10,9,1,0.1592,,,,33.42,34.29,19.87
8aef0e4,true,gemm_tile_4x4,dma,dma_copy_4B,1,4,,,,,,,4,4,2,,,,,,,4,4,,,,,1,1,,,,,,,1.0000,,,33.33,,,
8aef0e4,true,gemm_tile_4x4,dma,dma_copy_16B,1,16,,,,,,,16,16,8,,,,,,,16,16,,,,,4,4,,,,,,,1.0000,,,33.33,,,
8aef0e4,true,gemm_tile_4x4,dma,dma_copy_64B,1,64,,,,,,,64,64,32,,,,,,,64,64,,,,,16,16,,,,,,,1.0000,,,33.33,,,
8aef0e4,true,gemm_tile_4x4,dma,dma_copy_backpressure,1,64,,,,,,,154,154,126,,,,,,,64,64,,,,,16,16,,,,,,,0.4156,,,45.00,,,
8aef0e4,true,gemm_tile_4x4,dma,dma_memory_to_memory,1,16,,,,,,,16,16,8,,,,,,,16,16,,,,,4,4,,,,,,,1.0000,,,33.33,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_add,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_multiply,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_relu,1,,16,,,,,,40,39,17,,,,,,,,,,,8,8,,,16,,,,,,,0.4000,,30.36,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_clamp,1,,16,,,,,,56,55,25,,,,,,,,,,,16,8,,,16,,,,,,,0.2857,,31.25,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_add_backpressure,1,,16,,,,,,120,119,89,,,,,,,,,,,16,8,,,16,,,,,,,0.1333,,42.79,,,
8aef0e4,true,gemm_tile_4x4,vector,vector_scale,1,,16,,,,,,42,41,18,,,,,,,,,,,9,8,,,16,,,,,,,0.3810,,30.51,,,
8aef0e4,true,gemm_tile_4x4,reduction,reduction_sum,1,,16,,,,,,26,25,10,,,,,,,,,,,8,1,,,16,,,,,,,0.6154,,28.57,,,
8aef0e4,true,gemm_tile_4x4,reduction,reduction_max,1,,16,,,,,,26,25,10,,,,,,,,,,,8,1,,,16,,,,,,,0.6154,,28.57,,,
8aef0e4,true,gemm_tile_4x4,reduction,reduction_sum_backpressure,1,,16,,,,,,51,50,36,,,,,,,,,,,8,1,,,16,,,,,,,0.3137,,41.86,,,
8aef0e4,true,gemm_tile_4x4,gemm,gemm_2x2x2,1,,,2,2,2,4,,26,25,13,,,,,,,,,,,8,4,,,,1,,,,,,,0.1538,34.21,,,
8aef0e4,true,gemm_tile_4x4,gemm,gemm_4x4x4,1,,,4,4,4,16,,100,99,49,,,,,,,,,,,32,16,,,,1,,,,,,,0.1600,33.11,,,
8aef0e4,true,gemm_tile_4x4,gemm,gemm_4x4x4_backpressure,1,,,4,4,4,16,,217,216,169,,,,,,,,,,,32,16,,,,1,,,,,,,0.0737,43.90,,,
